Motor 1,Motor 2,Motor 3,X,Y,Z
3,6,1,-11.617,-1.358,-279.748
3,6,2,-9.322,-2.699,-280.420
3,6,3,-7.012,-4.048,-281.068
3,6,4,-4.688,-5.405,-281.693
3,6,5,-2.351,-6.768,-282.293
4,6,0,-13.924,2.658,-279.633
4,6,1,-11.639,1.327,-280.343
4,6,2,-9.339,-0.012,-281.030
4,6,3,-7.025,-1.358,-281.693
4,6,4,-4.697,-2.712,-282.331
4,6,5,-2.355,-4.073,-282.946
5,6,0,-13.948,5.355,-280.190
5,6,1,-11.659,4.027,-280.914
5,6,2,-9.355,2.692,-281.615
5,6,3,-7.037,1.348,-282.293
5,6,4,-4.705,-0.003,-282.946
5,6,5,-2.359,-1.362,-283.574
0,0,6,13.816,-7.976,-277.167
1,0,6,13.845,-5.341,-277.819
0,1,6,11.548,-9.319,-277.819
0,2,6,9.266,-10.669,-278.448
0,3,6,6.97,-12.025,-279.052
0,4,6,4.66,-13.388,-279.633
0,5,6,2.337,-14.757,-280.190
1,1,6,11.572,-6.681,-278.485
1,2,6,9.285,-8.028,-279.129
1,3,6,6.984,-9.382,-279.748
1,4,6,4.67,-10.743,-280.343
1,5,6,2.342,-12.11,-280.914
2,0,6,13.872,-2.69,-278.448
2,1,6,11.595,-4.027,-279.129
2,2,6,9.304,-5.372,-279.786
2,3,6,6.999,-6.723,-280.420
2,4,6,4.679,-8.082,-281.030
2,5,6,2.346,-9.447,-281.615
3,0,6,13.899,-0.024,-279.052
3,1,6,11.617,-1.358,-279.748
3,2,6,9.322,-2.699,-280.420
3,3,6,7.012,-4.048,-281.068
3,4,6,4.688,-5.405,-281.693
3,5,6,2.351,-6.768,-282.293
4,0,6,13.924,2.658,-279.633
4,1,6,11.639,1.327,-280.343
4,2,6,9.339,-0.012,-281.030
4,3,6,7.025,-1.358,-281.693
4,4,6,4.697,-2.712,-282.331
4,5,6,2.355,-4.073,-282.946
5,0,6,13.948,5.355,-280.190
5,1,6,11.659,4.027,-280.914
5,2,6,9.355,2.692,-281.615
5,3,6,7.037,1.348,-282.293
5,4,6,4.705,-0.003,-282.946
5,5,6,2.359,-1.362,-283.574
7,0,0,0,18.661,-277.593
7,1,0,-2.3,17.372,-278.259
7,0,1,2.3,17.372,-278.259
7,1,1,0,16.078,-278.939
7,0,2,4.614,16.074,-278.901
7,0,3,6.94,14.767,-279.519
7,0,4,9.278,13.451,-280.114
7,0,5,11.629,12.126,-280.684
7,1,2,2.314,14.774,-279.596
7,1,3,4.64,13.462,-280.229
7,1,4,6.979,12.141,-280.838
7,1,5,9.331,10.811,-281.422
7,2,0,-4.614,16.074,-278.901
7,2,1,-2.314,14.774,-279.596
7,2,2,0,13.465,-280.267
7,2,3,2.327,12.148,-280.915
7,2,4,4.667,10.822,-281.538
7,2,5,7.019,9.487,-282.137
7,3,0,-6.94,14.767,-279.519
7,3,1,-4.64,13.462,-280.229
7,3,2,-2.327,12.148,-280.915
7,3,3,0,10.825,-281.577
7,3,4,2.34,9.494,-282.215
7,3,5,4.693,8.154,-282.829
7,4,0,-9.278,13.451,-280.114
7,4,1,-6.979,12.141,-280.838
7,4,2,-4.667,10.822,-281.538
7,4,3,-2.34,9.494,-282.215
7,4,4,0,8.158,-282.868
7,4,5,2.354,6.814,-283.496
7,5,0,-11.629,12.126,-280.684
7,5,1,-9.331,10.811,-281.422
7,5,2,-7.019,9.487,-282.137
7,5,3,-4.693,8.154,-282.829
7,5,4,-2.354,6.814,-283.496
7,5,5,0,5.464,-284.139
0,0,7,16.161,-9.331,-277.593
0,1,7,13.894,-10.678,-278.259
0,2,7,11.614,-12.033,-278.901
0,3,7,9.319,-13.393,-279.519
0,4,7,7.01,-14.761,-280.114
0,5,7,4.687,-16.134,-280.684
1,0,7,16.195,-6.694,-278.259
1,1,7,13.924,-8.039,-278.939
1,2,7,11.638,-9.391,-279.596
1,3,7,9.338,-10.749,-280.229
1,4,7,7.024,-12.115,-280.838
1,5,7,4.697,-13.487,-281.422
2,0,7,16.227,-4.041,-278.901
2,1,7,13.951,-5.383,-279.596
2,2,7,11.661,-6.733,-280.267
2,3,7,9.357,-8.089,-280.915
2,4,7,7.039,-9.452,-281.538
2,5,7,4.706,-10.822,-282.137
3,0,7,16.258,-1.373,-279.519
3,1,7,13.978,-2.712,-280.229
3,2,7,11.684,-4.059,-280.915
3,3,7,9.375,-5.413,-281.577
3,4,7,7.052,-6.774,-282.215
3,5,7,4.715,-8.142,-282.829
4,0,7,16.288,1.31,-280.114
